file date time magnification species mating_type replicate sampling_cnt indiv_per_frame indiv_per_volume bioarea_per_frame bioarea_per_volume major_mean major_sd minor_mean minor_sd gross_speed_mean gross_speed_sd net_speed_mean net_speed_sd sd_turning_mean time_diff
sample_0001 2018-03-26 9 2 Tet I 1 0 9.04666666666667 0.291827956989247 14511.5029946667 468.112999827957 56.9448219962229 9.66660015009333 35.752412446845 4.37277438381279 357.227735005167 108.100015330886 237.9175 117.894857956608 0.582916666666667 0
sample_0002 2018-03-26 9 2 Tet I 2 0 9.06666666666667 0.29247311827957 13939.237078 449.652808967742 55.3514058678023 9.04393169581851 33.6618643351804 5.82417553779951 333.767665779652 81.3129125454404 202.437777777778 120.646120658997 0.557222222222222 0
sample_0003 2018-03-26 9 2 Tet I 3 0 10.5933333333333 0.341720430107527 17416.2925473333 561.815888623656 53.7831583470487 9.16950279904863 35.3165046204076 4.89496594413473 334.692820336246 97.934960161605 218.308333333333 133.930076938765 0.577222222222222 0
sample_0004 2018-03-26 9 2 Tet I 4 0 7.06666666666667 0.227956989247312 11900.1004753333 383.87420888172 59.7693496186988 11.9035354642892 35.8635627076919 5.46341970572943 337.524317384436 113.51343109496 212.427368421053 145.782973775026 0.538421052631579 0
sample_0005 2018-03-26 9 2 Tet I 5 0 7.82 0.252258064516129 13788.6102406667 444.793878731183 59.1244341233591 17.9833214915666 35.222930934814 5.2992752938472 341.419816035533 86.7926908106818 252.24 125.493984341411 0.515 0
sample_0006 2018-03-26 9 2 Tet I 6 0 2.4 0.0774193548387097 3876.190796 125.038412774194 51.0916070750392 9.30411911898469 32.6575125363008 6.19766430224949 506.863630806868 88.9587242854864 434.02125 157.854419317972 0.275 0
sample_0007 2018-03-26 9 2 Tet II 1 0 3.02666666666667 0.0976344086021505 4402.09511333333 142.003068172043 50.6774173808138 7.37891179557337 35.4155180757636 3.38319211306989 369.832771602018 65.9645337285817 214.101666666667 87.2822855834256 0.525 0
sample_0008 2018-03-26 9 2 Tet II 2 0 5.71333333333333 0.184301075268817 10153.8995413333 327.545146494624 67.5077603762857 19.1557618232553 38.254660091915 8.07339131408039 385.676309773284 86.914827212254 206.816666666667 142.37895147894 0.595833333333333 0
sample_0009 2018-03-26 9 2 Tet II 3 0 0.926666666666667 0.0298924731182796 1512.329556 48.7848243870968 59.3688851578947 16.9147919647851 34.6642959212354 4.25060182340522 435.477901670537 73.3345646619709 281.4775 184.522881214408 0.635 0
sample_0010 2018-03-26 9 2 Tet II 4 0 4.78666666666667 0.154408602150538 7670.23322266666 247.426878150538 52.3621654966555 7.75856281687954 35.5669458836729 5.50954795183855 335.888476664645 132.949061238628 245.582307692308 144.210050513932 0.713076923076923 0
sample_0011 2018-03-26 9 2 Tet II 5 0 6.11333333333333 0.197204301075269 11518.7618126667 371.572961698925 58.9321750703591 15.3468150147049 36.2048649683568 8.07157148523854 355.052461227484 134.996993924055 237.107142857143 166.725718399484 0.605 0
sample_0012 2018-03-26 9 2 Tet II 6 0 1.78 0.0574193548387097 2878.223518 92.8459199354838 60.334638404587 10.7186906349944 33.7277325363435 2.02414534212892 459.337711977026 84.0194312053316 292.371666666667 191.465266031901 0.443333333333333 0
sample_0013 2018-03-26 9 2 Tet III 1 0 3.76666666666667 0.121505376344086 6403.57500666667 206.566935698925 58.7580492984265 24.664119211869 38.6588027708635 16.3746770738083 410.342534027932 185.978898722671 322.54 216.845525872472 0.305 0
sample_0014 2018-03-26 9 2 Tet III 2 0 1.96 0.0632258064516129 3874.836702 124.994732322581 54.9062221535369 19.0790831716286 40.0895207670914 16.3811670559086 357.51085552009 204.242775510642 220.704285714286 193.372550263056 0.595714285714286 0
sample_0015 2018-03-26 9 2 Tet III 3 0 1.56666666666667 0.0505376344086022 3885.92737666667 125.352496021505 79.8614316619666 13.5879016417225 52.461284802073 11.7728298717647 521.337676927595 134.773707691335 443.993333333333 187.267271958201 0.338333333333333 0
sample_0016 2018-03-26 9 2 Tet III 4 0 1.22 0.0393548387096774 3938.35015866667 127.043553505376 71.2246865202424 5.07675492525607 51.5883706823878 8.96310589716914 476.407673925339 154.163566767125 383.46 228.088570954355 0.3825 0
sample_0017 2018-03-26 9 2 Tet III 5 0 1.77333333333333 0.0572043010752688 3298.12161933333 106.391019978495 56.5890222758147 12.9645174292394 37.0442908231171 13.4414460919123 365.756042228405 236.050020976274 311.024 274.378363384093 0.676 0
sample_0018 2018-03-26 9 2 Tet III 6 0 0.28 0.00903225806451613 660.153065333333 21.295260172043 70.91383125 0.197369412531742 39.7974215144231 12.8748017720131 427.741741071429 19.3939818373919 290.04 34.5775216000222 0.63 0
sample_0019 2018-03-26 9 2 Tet IV 1 0 4.49333333333333 0.14494623655914 8635.444322 278.562720064516 60.0959217449658 10.8897285462152 42.0648652548471 9.27878662393901 466.113537105249 135.035157251043 374.8925 178.013965495305 0.35 0
sample_0020 2018-03-26 9 2 Tet IV 2 0 2.74666666666667 0.0886021505376344 5607.303254 180.880750129032 60.590423910777 10.1413730374925 39.4141700483772 6.32411936449986 442.147492449749 120.339487392106 277.033 176.812762048822 0.479 0
sample_0021 2018-03-26 9 2 Tet IV 3 0 3.58666666666667 0.115698924731183 9456.15424733333 305.037233784946 62.3938614474561 7.250615056828 47.1311155751343 6.79774434033725 450.990784757149 79.2829714343864 322.25625 101.642408884917 0.38375 0
